"ID","aylienNERagdistis","tagmeNEDlogs","DBpediaNERAgdistis3252","ambiverseNEDlogs","meaningcloudAgdistis","qanary_logs_DBpediaSpotlightNED","meaningCloudNEDnew","aylienNEDlogs","textrazorAgdistis","dandiNERAgdistisFINAL","dandilionNEDlogs","OntotextNEDlogs","babelfyAgdistis3000","ambiverseAgdistis","tagmeAgdistis","EntityClassifier_NER_Agdistis","newBabelfyNEDlogs","stanfordAgdistis","ontotextAgdistis"
"10088","","1.0","","","","","","0.5","1.0","1.0","1.0","0.0","0.0","","1.0","0.5","","","0.0"
"10089","0.0","0.0","0.0","","","0.5","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.16666666666666666","0.0",""
"10090","0.0","0.0","0.0","","0.0","0.0","","0.0","","0.0","0.0","0.0","","","0.0","0.0","","",""
"10091","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","","","0.0","0.0","0.0","","","0.25","0.0","0.0",""
"10092","1.0","1.0","1.0","","","1.0","","1.0","","1.0","0.3333333333333333","0.5","","","1.0","","0.25","0.0","1.0"
"10093","1.0","1.0","1.0","","0.0","1.0","0.0","1.0","0.5","0.5","0.3333333333333333","1.0","0.5","","1.0","0.5","0.3333333333333333","1.0","1.0"
"10094","1.0","","1.0","","0.0","1.0","","0.6666666666666666","1.0","0.5","0.3333333333333333","","","","","0.5","1.0","1.0","0.5"
"10095","","","","","","","","","0.0","0.0","0.5","0.0","","","","0.0","0.0","","0.0"
"10096","1.0","1.0","1.0","1.0","0.0","1.0","","","","1.0","1.0","1.0","","0.0","1.0","1.0","1.0","1.0","1.0"
"10097","0.0","1.0","0.5","0.0","","1.0","","1.0","","0.5","0.5","1.0","","0.0","0.0","0.5","0.25","0.5","0.5"
"10098","1.0","1.0","1.0","","1.0","1.0","","","0.5","0.5","0.5","0.3333333333333333","1.0","","1.0","0.5","0.3333333333333333","1.0","0.5"
"10099","1.0","1.0","1.0","","0.0","1.0","","0.0","1.0","1.0","0.5","1.0","","","1.0","1.0","0.25","1.0","1.0"
"10100","0.0","1.0","0.0","","","0.0","","1.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0"
"10101","1.0","1.0","1.0","","1.0","1.0","","","1.0","1.0","0.5","","","","1.0","1.0","0.5","1.0",""
"10102","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0"
"10103","0.0","1.0","0.0","","1.0","0.5","","1.0","0.0","0.0","0.5","1.0","0.0","","0.0","0.0","0.0","0.0","0.0"
"10104","0.0","0.0","0.0","","0.0","0.0","","1.0","0.0","0.0","0.0","0.0","","","","","","0.0","0.0"
"10105","","1.0","","","","","0.0","1.0","","","1.0","0.0","","","","0.0","","","0.0"
"10106","1.0","1.0","1.0","","1.0","1.0","","1.0","1.0","1.0","0.3333333333333333","0.3333333333333333","","","1.0","0.5","0.25","1.0","1.0"
"10107","1.0","1.0","1.0","1.0","","1.0","0.0","1.0","1.0","1.0","0.6666666666666666","0.0","1.0","","1.0","","1.0","1.0","0.6666666666666666"
"10108","","1.0","","","","1.0","","1.0","","","0.3333333333333333","0.0","","","","0.0","0.3333333333333333","","0.0"
"10109","","1.0","","","","0.5","0.0","0.0","","0.0","0.3333333333333333","0.5","","","","0.0","","",""
"10110","0.0","1.0","1.0","0.0","","1.0","0.3333333333333333","1.0","","1.0","0.0","","","","1.0","0.0","0.5","0.0","0.0"
"10111","","","","","1.0","","","0.0","","","","0.0","","","","","","",""
"10112","","","","","","","","0.3333333333333333","","","","0.0","","","","0.0","0.1111111111111111","",""
"10113","0.0","1.0","0.0","","","0.5","","1.0","","0.0","0.0","0.3333333333333333","","","0.0","","0.0","","0.0"
"10114","","","","","1.0","","","1.0","","0.3333333333333333","0.25","0.0","","","","0.3333333333333333","0.0","","0.0"
"10115","0.0","","0.0","","","0.0","","0.0","1.0","0.0","0.0","0.0","0.0","","","1.0","","1.0","1.0"
"10116","1.0","1.0","1.0","","","1.0","","1.0","0.0","1.0","1.0","0.3333333333333333","","","1.0","0.0","0.25","","0.5"
"10117","1.0","1.0","1.0","","1.0","1.0","","1.0","1.0","1.0","0.5","0.0","0.5","","1.0","","0.25","1.0",""
"10118","","","","","","","","1.0","0.0","","","","","","","0.0","","","0.0"
"10119","0.0","1.0","0.5","0.0","1.0","0.5","","0.0","","1.0","1.0","0.6666666666666666","","0.0","1.0","1.0","0.2857142857142857","0.5","1.0"
"10120","","1.0","","","0.0","1.0","","1.0","","","0.3333333333333333","1.0","","","","","1.0","",""
"10121","0.0","1.0","0.0","0.0","","1.0","","1.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0"
"10122","","","","","","","","1.0","","","","0.0","0.0","","","","0.25","","0.0"
"10123","1.0","1.0","1.0","1.0","0.0","1.0","0.5","","1.0","1.0","1.0","0.5","","0.0","","0.3333333333333333","0.3333333333333333","1.0","0.5"
"10124","1.0","1.0","0.5","0.0","","1.0","0.5","0.6666666666666666","","0.5","0.6666666666666666","1.0","","0.0","0.0","0.5","0.3333333333333333","0.5","0.5"
"10125","1.0","1.0","1.0","0.0","1.0","1.0","","","","1.0","1.0","0.6666666666666666","0.3333333333333333","","1.0","0.2","0.5","1.0","1.0"
"10126","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5","","0.0","","1.0","0.0","1.0","1.0"
"10127","0.0","1.0","0.0","","0.0","0.5","","0.0","0.0","0.0","0.5","0.5","","","0.0","0.0","0.5","0.0","0.0"
"10128","","1.0","","","","","","","","0.0","0.6666666666666666","0.5","","","","0.0","0.6666666666666666","","0.0"
"10129","0.0","1.0","0.0","","0.0","0.0","","1.0","1.0","0.5","0.5","0.5","0.3333333333333333","","1.0","0.3333333333333333","0.3333333333333333","","0.5"
"10130","0.5","1.0","0.5","0.0","1.0","0.6666666666666666","","","","1.0","1.0","1.0","","0.0","1.0","0.0","0.4","1.0","1.0"
"10131","1.0","","1.0","","","1.0","","0.5","","","","0.5","1.0","","","1.0","1.0","0.0","1.0"
"10132","1.0","1.0","0.5","0.0","1.0","0.5","","1.0","","0.5","0.5","0.0","","0.0","1.0","0.3333333333333333","0.16666666666666666","1.0","0.5"
"10133","0.0","0.0","0.0","0.0","","0.0","","0.0","","0.0","0.0","","0.0","","","0.0","0.0","",""
"10134","1.0","1.0","1.0","","","1.0","1.0","1.0","1.0","1.0","0.5","","","","1.0","1.0","","1.0","1.0"
"10135","1.0","1.0","1.0","","0.0","1.0","","1.0","1.0","1.0","1.0","","","","1.0","1.0","0.3333333333333333","1.0","0.5"
"10136","1.0","1.0","1.0","1.0","","1.0","1.0","0.0","1.0","0.5","1.0","0.0","1.0","","1.0","0.5","1.0","1.0","1.0"
"10137","0.0","0.0","0.0","","","0.0","","1.0","","0.0","0.0","0.0","","","0.0","0.0","","","0.0"
"10138","1.0","1.0","1.0","","","1.0","","1.0","1.0","1.0","1.0","1.0","","","1.0","1.0","0.3333333333333333","","1.0"
"10139","1.0","1.0","1.0","","","1.0","","0.5","0.0","1.0","1.0","0.0","1.0","","1.0","0.0","1.0","","1.0"
"10140","","1.0","0.0","0.0","1.0","0.0","","1.0","1.0","1.0","1.0","0.0","","0.0","1.0","0.3333333333333333","0.25","1.0","0.0"
"10141","1.0","1.0","1.0","","","1.0","","0.6666666666666666","0.5","1.0","0.5","0.0","0.0","","1.0","0.3333333333333333","0.0","1.0","0.0"
"10142","0.0","","0.0","","","1.0","","0.0","0.0","0.0","0.6666666666666666","0.6666666666666666","","","","0.0","","","0.0"
"10143","","","0.0","","","1.0","","1.0","0.0","0.0","1.0","","0.0","","","","0.5","0.0",""
"10144","0.6666666666666666","1.0","0.5","","0.0","0.5","","","1.0","0.5","0.5","0.3333333333333333","","","1.0","0.5","0.0","1.0","0.5"
"10145","0.0","1.0","0.0","","1.0","0.0","","1.0","1.0","0.0","0.0","0.0","","","1.0","0.0","0.2","","0.0"
"10146","","","0.0","","","1.0","","","","0.0","0.3333333333333333","0.0","","","","0.0","","0.0",""
"10147","0.0","0.0","0.0","","","0.0","","","0.5","0.0","0.5","","0.0","","","0.5","0.0","0.5","0.5"
"10148","","","","","","0.0","","","","","0.0","0.0","","","","","0.0","",""
"10149","","","","","","0.0","","0.75","1.0","","","","","","","","0.0","",""
"10150","1.0","1.0","1.0","","","1.0","","0.3333333333333333","1.0","1.0","1.0","1.0","","","1.0","1.0","0.3333333333333333","1.0","1.0"
"10151","","","","","","","","","","","","0.0","0.0","","","","","",""
"10152","0.5","0.5","0.5","","","0.5","1.0","1.0","0.5","0.5","0.5","","1.0","","1.0","0.3333333333333333","1.0","1.0","0.5"
"10153","1.0","1.0","1.0","","","1.0","0.0","1.0","","1.0","1.0","0.0","0.0","","1.0","0.5","0.0","1.0","0.5"
"10154","1.0","1.0","1.0","","","1.0","","1.0","1.0","0.5","0.5","0.0","","","1.0","0.5","0.3333333333333333","1.0","0.5"
"10155","1.0","1.0","1.0","0.0","","1.0","","1.0","0.5","0.5","0.5","0.5","","0.0","1.0","0.0","0.3333333333333333","1.0","1.0"
"10156","1.0","","1.0","","0.0","1.0","","","1.0","1.0","1.0","","0.5","","","1.0","0.5","1.0","1.0"
"10157","1.0","1.0","1.0","","1.0","1.0","","1.0","1.0","1.0","1.0","","","","1.0","1.0","0.5","1.0","1.0"
"10158","0.0","1.0","0.5","","","0.5","","0.0","","0.5","0.5","0.3333333333333333","0.5","","1.0","0.5","0.5","0.5","0.5"
"10159","1.0","1.0","1.0","1.0","1.0","1.0","","0.6666666666666666","1.0","0.6666666666666666","0.5","0.6666666666666666","","","1.0","0.3333333333333333","0.2857142857142857","1.0","0.6666666666666666"
"10160","1.0","1.0","1.0","","0.0","1.0","0.0","1.0","","0.5","0.5","0.3333333333333333","0.0","","1.0","0.25","0.0","0.0","0.5"
"10161","0.5","1.0","0.5","1.0","","0.5","0.0","","0.5","0.3333333333333333","0.3333333333333333","0.0","","","","0.3333333333333333","0.0","1.0","0.3333333333333333"
"10162","1.0","1.0","","1.0","","","","","1.0","1.0","0.5","1.0","","","1.0","0.0","0.25","1.0","1.0"
"10163","1.0","0.0","1.0","","1.0","1.0","1.0","1.0","","1.0","0.6666666666666666","0.6666666666666666","","","1.0","1.0","0.5","1.0","1.0"
"10164","0.0","0.0","0.0","","","0.0","","1.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0"
"10165","0.0","","0.0","","","1.0","","1.0","0.0","0.0","0.3333333333333333","0.0","0.0","","","0.0","1.0","0.0",""
"10166","","1.0","","","0.0","1.0","","","0.0","1.0","0.0","0.5","0.0","","1.0","0.0","0.0","0.0","0.0"
"10167","","","","","","","","1.0","1.0","1.0","0.3333333333333333","0.0","1.0","","","1.0","1.0","",""
"10168","1.0","1.0","1.0","","","1.0","","","1.0","1.0","1.0","0.6666666666666666","","","1.0","0.6666666666666666","0.5","1.0",""
"10169","","0.5","0.0","","","1.0","","","0.0","0.0","0.25","0.5","","","0.0","","0.5","",""
"10170","","1.0","","","","0.0","","","1.0","1.0","1.0","0.5","0.0","","1.0","0.0","0.0","1.0","0.5"
"10171","","1.0","0.0","0.0","","0.0","","1.0","0.0","","1.0","0.0","0.0","","","0.0","0.25","0.0","0.0"
"10172","","","","","","","","","0.0","0.0","0.3333333333333333","","0.0","","","0.0","0.3333333333333333","",""
"10173","1.0","1.0","1.0","1.0","","1.0","1.0","0.5","1.0","1.0","1.0","0.4","","","1.0","0.5","0.0","1.0","0.75"
"10174","0.3333333333333333","1.0","0.3333333333333333","0.0","","0.3333333333333333","0.0","1.0","0.3333333333333333","0.3333333333333333","0.3333333333333333","1.0","0.0","","1.0","0.3333333333333333","","0.3333333333333333","0.3333333333333333"
"10175","","","0.0","","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","","","","0.0","","",""
"10176","1.0","","1.0","1.0","0.0","1.0","1.0","","1.0","1.0","1.0","0.0","1.0","0.0","","0.5","0.0","1.0","1.0"
"10177","1.0","1.0","0.5","","","0.5","","1.0","0.5","","0.5","0.0","","","1.0","0.5","1.0","1.0","0.0"
"10178","1.0","1.0","1.0","1.0","1.0","1.0","","0.0","1.0","1.0","0.5","0.0","1.0","0.0","1.0","0.5","1.0","1.0","0.5"
"10179","1.0","1.0","1.0","","0.0","1.0","","1.0","","1.0","1.0","0.0","1.0","","1.0","","0.5","",""
"10180","","1.0","","","","1.0","","1.0","","","1.0","0.0","","","","","0.3333333333333333","",""
"10181","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","1.0","0.5","0.5","0.25","0.5","0.0","1.0","0.3333333333333333","0.6666666666666666","1.0","0.3333333333333333"
"10182","0.0","0.0","0.0","","","0.3333333333333333","0.3333333333333333","0.0","","0.0","0.3333333333333333","0.5","0.0","","","0.0","0.0","0.0","0.0"
"10183","1.0","0.0","1.0","1.0","1.0","1.0","","1.0","1.0","","","0.3333333333333333","0.0","","","1.0","0.5","1.0","1.0"
"10184","0.6666666666666666","1.0","1.0","0.0","","1.0","0.6666666666666666","1.0","","1.0","0.0","1.0","","","1.0","0.6666666666666666","0.6666666666666666","0.6666666666666666","1.0"
"10185","1.0","1.0","1.0","0.0","0.0","1.0","","","1.0","1.0","0.3333333333333333","0.0","","0.0","","0.0","0.0","1.0",""
"10186","","","","","","","","1.0","","","0.0","","","","","","","",""
"10187","","","","1.0","","","","1.0","0.0","","","","","0.0","","0.0","1.0","0.0",""
"10188","1.0","","1.0","","1.0","1.0","","1.0","1.0","1.0","0.3333333333333333","0.25","1.0","","","1.0","0.5","1.0","1.0"
"10189","1.0","1.0","1.0","0.0","1.0","0.5","","1.0","0.0","1.0","1.0","0.5","","","1.0","1.0","0.5","1.0",""
"10190","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","","","1.0","0.5","1.0","1.0"
"10191","","0.6666666666666666","1.0","0.0","0.0","1.0","0.0","0.0","0.5","1.0","1.0","0.6666666666666666","1.0","","1.0","1.0","0.6666666666666666","0.5","1.0"
"10192","1.0","1.0","1.0","","","1.0","","1.0","0.5","0.5","0.5","0.0","0.5","","1.0","0.5","0.3333333333333333","1.0","0.5"
"10193","","","","","","","","0.0","","","","0.0","","","","","","",""
"10194","","1.0","","","0.0","","","1.0","0.5","0.5","0.5","1.0","1.0","","1.0","0.5","0.5","1.0","0.0"
"10195","","1.0","","","1.0","","0.0","1.0","1.0","1.0","1.0","0.6666666666666666","","","1.0","0.6666666666666666","0.2","1.0","0.6666666666666666"
"10196","","","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","","0.0","1.0","0.0","0.0"
"10197","1.0","","1.0","","0.0","1.0","1.0","","1.0","1.0","1.0","0.5","","","","1.0","0.0","1.0","0.5"
"10198","","1.0","","","0.0","","","","","0.0","1.0","1.0","","","0.0","0.0","0.0","0.0","0.0"
"10199","0.5","1.0","0.5","","","0.5","","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","1.0","","1.0","0.5","0.5","1.0","0.5"
"10200","","0.0","","","0.0","","","1.0","0.0","0.0","1.0","0.0","","","","0.0","","",""
"10201","1.0","1.0","1.0","","","1.0","","0.0","1.0","1.0","0.3333333333333333","0.3333333333333333","","","1.0","0.0","0.2","1.0","0.5"
"10202","1.0","1.0","1.0","","1.0","1.0","","0.3333333333333333","1.0","1.0","0.3333333333333333","","","","1.0","1.0","","1.0",""
"10203","","1.0","","","","1.0","","0.0","","","1.0","","","","","0.0","","",""
"10204","1.0","0.0","1.0","0.0","1.0","1.0","","0.0","0.5","1.0","0.5","1.0","","0.0","1.0","1.0","0.5","1.0","1.0"
"10205","0.0","1.0","0.0","","","0.0","","","0.0","","1.0","","","","","0.0","0.5","0.0","0.0"
"10206","1.0","","1.0","1.0","","1.0","1.0","","1.0","1.0","1.0","0.0","1.0","","","1.0","","1.0","1.0"
