qid,qsparql_query,sparql_answers/0,sparql_answers/1,sparql_answers/2,sparql_answers/3,sparql_answers/4,sparql_answers/5,sparql_answers/6,sparql_answers/7,sparql_answers/8,sparql_answers/9,sparql_answers/10,sparql_answers/11,sparql_answers/12,sparql_answers/13,sparql_answers/14,sparql_answers/15,sparql_answers/16,sparql_answers/17,sparql_answers/18,sparql_answers/19,sparql_answers/20,sparql_answers/21,sparql_answers/22,sparql_answers/23,sparql_answers/24,sparql_answers/25,sparql_answers/26,sparql_answers/27,sparql_answers/28,sparql_answers/29,sparql_answers/30,sparql_answers/31,sparql_answers/32,sparql_answers/33,sparql_answers/34,sparql_answers/35,sparql_answers/36,sparql_answers/37,sparql_answers/38,sparql_answers/39,sparql_answers/40,sparql_answers/41,sparql_answers/42,sparql_answers/43,sparql_answers/44,sparql_answers/45,sparql_answers/46,sparql_answers/47,sparql_answers/48,sparql_answers/49,sparql_answers/50,sparql_answers/51,sparql_answers/52,sparql_answers/53,sparql_answers/54,sparql_answers/55,sparql_answers/56,sparql_answers/57,sparql_answers/58,sparql_answers/59,sparql_answers/60,sparql_answers/61,sparql_answers/62,sparql_answers/63,sparql_answers/64,sparql_answers/65,sparql_answers/66,sparql_answers/67,sparql_answers/68,sparql_answers/69,sparql_answers/70,sparql_answers/71,sparql_answers/72,sparql_answers/73,sparql_answers/74,sparql_answers/75,sparql_answers/76,sparql_answers/77,sparql_answers/78,sparql_answers/79,sparql_answers/80,sparql_answers/81,sparql_answers/82,sparql_answers/83,sparql_answers/84
15018,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?uri },http://dbpedia.org/resource/Liam_Howlett,http://dbpedia.org/resource/Keith_Flint,http://dbpedia.org/resource/Maxim_(musician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15018,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?uri },http://dbpedia.org/resource/Liam_Howlett,http://dbpedia.org/resource/Keith_Flint,http://dbpedia.org/resource/Maxim_(musician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15020,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Breaking_Bad> . ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Game_of_Thrones> . },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15020,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Breaking_Bad> . ?uri <http://dbpedia.org/ontology/numberOfEpisodes> <http://dbpedia.org/resource/Game_of_Thrones> . },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15023,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> . ?uri <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> . },http://dbpedia.org/resource/Guido_von_List,http://dbpedia.org/resource/Johann_Alexander_Hubler-Kahla,http://dbpedia.org/resource/Emil_von_Reznicek,http://dbpedia.org/resource/Karoline_Seidler-Wranitzky,http://dbpedia.org/resource/Alfred_Halm,http://dbpedia.org/resource/Fritz_Richard,http://dbpedia.org/resource/Grete_von_Zieritz,http://dbpedia.org/resource/Hanna_Berger,http://dbpedia.org/resource/Hilde_Körber,http://dbpedia.org/resource/Hugo_Flink,http://dbpedia.org/resource/Irene_Prador,http://dbpedia.org/resource/Karl_Etlinger,http://dbpedia.org/resource/Karl_Hellmer,http://dbpedia.org/resource/Leo_Mittler,http://dbpedia.org/resource/Marie_von_Buelow,http://dbpedia.org/resource/Oscar_Sabo,http://dbpedia.org/resource/Rudolf_Walther-Fein,http://dbpedia.org/resource/Viktoria_von_Ballasko,http://dbpedia.org/resource/Gerda_Laski,http://dbpedia.org/resource/Jacob_Taubes,http://dbpedia.org/resource/Eduard_von_Winterstein,http://dbpedia.org/resource/Luise_Begas-Parmentier,http://dbpedia.org/resource/Johann_Strauss_III,http://dbpedia.org/resource/Tilla_Durieux,http://dbpedia.org/resource/Mathilde_Danegger,http://dbpedia.org/resource/John_Reinhardt_(director),http://dbpedia.org/resource/Michael_Meinecke,http://dbpedia.org/resource/Robert_Bodanzky,http://dbpedia.org/resource/Alexander_Meissner,http://dbpedia.org/resource/Eduard_Peithner_von_Lichtenfels,http://dbpedia.org/resource/Friedrich_Leitner,http://dbpedia.org/resource/Michael_von_Newlinsky,http://dbpedia.org/resource/Willy_Trenk-Trebitsch,http://dbpedia.org/resource/Josef_Rufer,http://dbpedia.org/resource/Richard_Thurnwald,http://dbpedia.org/resource/Steffie_Spira,http://dbpedia.org/resource/Helene_Weigel,http://dbpedia.org/resource/Therese_Grünbaum,http://dbpedia.org/resource/Edmund_Meisel,http://dbpedia.org/resource/Robert_Reinert,http://dbpedia.org/resource/Heinrich_Ehrlich,http://dbpedia.org/resource/Adolf_Klein,http://dbpedia.org/resource/Hans_Fidesser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15023,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> . ?uri <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> . },http://dbpedia.org/resource/Guido_von_List,http://dbpedia.org/resource/Johann_Alexander_Hubler-Kahla,http://dbpedia.org/resource/Emil_von_Reznicek,http://dbpedia.org/resource/Karoline_Seidler-Wranitzky,http://dbpedia.org/resource/Alfred_Halm,http://dbpedia.org/resource/Fritz_Richard,http://dbpedia.org/resource/Grete_von_Zieritz,http://dbpedia.org/resource/Hanna_Berger,http://dbpedia.org/resource/Hilde_Körber,http://dbpedia.org/resource/Hugo_Flink,http://dbpedia.org/resource/Irene_Prador,http://dbpedia.org/resource/Karl_Etlinger,http://dbpedia.org/resource/Karl_Hellmer,http://dbpedia.org/resource/Leo_Mittler,http://dbpedia.org/resource/Marie_von_Buelow,http://dbpedia.org/resource/Oscar_Sabo,http://dbpedia.org/resource/Rudolf_Walther-Fein,http://dbpedia.org/resource/Viktoria_von_Ballasko,http://dbpedia.org/resource/Gerda_Laski,http://dbpedia.org/resource/Jacob_Taubes,http://dbpedia.org/resource/Eduard_von_Winterstein,http://dbpedia.org/resource/Luise_Begas-Parmentier,http://dbpedia.org/resource/Johann_Strauss_III,http://dbpedia.org/resource/Tilla_Durieux,http://dbpedia.org/resource/Mathilde_Danegger,http://dbpedia.org/resource/John_Reinhardt_(director),http://dbpedia.org/resource/Michael_Meinecke,http://dbpedia.org/resource/Robert_Bodanzky,http://dbpedia.org/resource/Alexander_Meissner,http://dbpedia.org/resource/Eduard_Peithner_von_Lichtenfels,http://dbpedia.org/resource/Friedrich_Leitner,http://dbpedia.org/resource/Michael_von_Newlinsky,http://dbpedia.org/resource/Willy_Trenk-Trebitsch,http://dbpedia.org/resource/Josef_Rufer,http://dbpedia.org/resource/Richard_Thurnwald,http://dbpedia.org/resource/Steffie_Spira,http://dbpedia.org/resource/Helene_Weigel,http://dbpedia.org/resource/Therese_Grünbaum,http://dbpedia.org/resource/Edmund_Meisel,http://dbpedia.org/resource/Robert_Reinert,http://dbpedia.org/resource/Heinrich_Ehrlich,http://dbpedia.org/resource/Adolf_Klein,http://dbpedia.org/resource/Hans_Fidesser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15025,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?uri },1.9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15025,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?uri },1.9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15026,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?uri },http://dbpedia.org/resource/Ottawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15026,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?uri },http://dbpedia.org/resource/Ottawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15031,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?v1. },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#> <http://dbpedia.org/ontology/Film>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#> <http://dbpedia.org/ontology/Film>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Francis_Ford_Coppola> <http://dbpedia.org/ontology/director> ?uri. ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#> <http://dbpedia.org/ontology/Film>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Francis_Ford_Coppola> <http://dbpedia.org/ontology/director> ?uri. ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#> <http://dbpedia.org/ontology/Film>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . },http://dbpedia.org/resource/Leonard_Nimoy,http://dbpedia.org/resource/DeForest_Kelley,http://dbpedia.org/resource/James_Doohan,http://dbpedia.org/resource/George_Takei,http://dbpedia.org/resource/Nichelle_Nichols,http://dbpedia.org/resource/Walter_Koenig,http://dbpedia.org/resource/Dan_Gauthier,http://dbpedia.org/resource/Tom_Towles,http://dbpedia.org/resource/Brenda_Bakke,http://dbpedia.org/resource/Rickey_Medlocke,http://dbpedia.org/resource/Chuck_Williams_(actor),http://dbpedia.org/resource/John_Prosky,http://dbpedia.org/resource/Amy_Acker,http://dbpedia.org/resource/Dan_Martin_(actor),http://dbpedia.org/resource/Duane_Whitaker,http://dbpedia.org/resource/Dick_Van_Patten,http://dbpedia.org/resource/William_Shatner,http://dbpedia.org/resource/J.T._Colosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . },http://dbpedia.org/resource/Leonard_Nimoy,http://dbpedia.org/resource/DeForest_Kelley,http://dbpedia.org/resource/James_Doohan,http://dbpedia.org/resource/George_Takei,http://dbpedia.org/resource/Nichelle_Nichols,http://dbpedia.org/resource/Walter_Koenig,http://dbpedia.org/resource/Dan_Gauthier,http://dbpedia.org/resource/Tom_Towles,http://dbpedia.org/resource/Brenda_Bakke,http://dbpedia.org/resource/Rickey_Medlocke,http://dbpedia.org/resource/Chuck_Williams_(actor),http://dbpedia.org/resource/John_Prosky,http://dbpedia.org/resource/Amy_Acker,http://dbpedia.org/resource/Dan_Martin_(actor),http://dbpedia.org/resource/Duane_Whitaker,http://dbpedia.org/resource/Dick_Van_Patten,http://dbpedia.org/resource/William_Shatner,http://dbpedia.org/resource/J.T._Colosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Shatner> <http://dbpedia.org/ontology/director> ?x. ?x <http://dbpedia.org/ontology/starring> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Shatner> <http://dbpedia.org/ontology/director> ?x. ?x <http://dbpedia.org/ontology/starring> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri },http://dbpedia.org/resource/Ted_Turner,http://dbpedia.org/resource/Tom_Hayden,http://dbpedia.org/resource/Roger_Vadim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri },http://dbpedia.org/resource/Ted_Turner,http://dbpedia.org/resource/Tom_Hayden,http://dbpedia.org/resource/Roger_Vadim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15040,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?uri },http://dbpedia.org/resource/Siege_of_Medina,http://dbpedia.org/resource/Arab_Revolt,http://dbpedia.org/resource/Battle_of_Megiddo_(1918),http://dbpedia.org/resource/Battle_of_Aqaba,http://dbpedia.org/resource/World_War_I,http://dbpedia.org/resource/Capture_of_Damascus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15040,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?uri },http://dbpedia.org/resource/Siege_of_Medina,http://dbpedia.org/resource/Arab_Revolt,http://dbpedia.org/resource/Battle_of_Megiddo_(1918),http://dbpedia.org/resource/Battle_of_Aqaba,http://dbpedia.org/resource/World_War_I,http://dbpedia.org/resource/Capture_of_Damascus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15041,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri },http://dbpedia.org/resource/Mojang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15041,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri },http://dbpedia.org/resource/Mojang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15044,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/Maribor> <http://dbpedia.org/ontology/populationTotal> ?v1. },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
