QuestionID;QuestionLength;TripleSize;ResourceTotal;ClassTotal;RelationTotal;_DT ;_IN ;_JJ ;_JJR ;_JJS ;_NN ;_NNS ;_NNP ;_NNPS ;_PRP ;_RB ;_RBR ;_RBS ;_UH ;_VB ;_VBD ;_VBG ;_VBN ;_VBP ;_VBZ ;_WDT ;_WP ;_WP$ ;_WRB ;BooleanAns;NumberAnswer;ListAnswer;RecallDBpedia
10024;13;4;2;0;2;1;3;0;0;0;3;0;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0.5
10025;12;2;1;0;1;1;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
10026;5;3;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0.5
10027;6;3;2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1
10028;16;4;1;1;2;4;2;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;
10029;7;2;1;0;1;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
10030;12;4;2;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0.5
10031;12;4;2;0;2;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
10032;13;4;2;0;2;2;0;0;0;0;1;0;4;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1
10033;7;3;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10034;6;2;1;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
10035;16;4;2;0;2;3;3;2;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0.5
10036;13;4;2;0;2;2;3;0;0;0;1;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.5
10037;6;3;2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0.5
10038;11;4;2;0;2;0;1;0;0;0;1;0;5;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1
10039;12;3;1;0;2;1;2;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1
10040;14;4;1;1;1;0;2;1;0;0;2;1;2;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;1;0;1
10041;7;2;1;0;1;1;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10042;12;4;1;1;2;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1;0;1
10043;14;3;1;0;1;0;2;2;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1
10044;7;3;2;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0.5
10045;16;3;1;0;1;2;2;2;0;0;3;1;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
10046;6;3;1;1;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
10047;16;4;1;1;1;0;2;1;0;0;0;2;5;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;2;0;1;0;
10048;5;2;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1
10049;5;2;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;
10050;10;4;1;1;2;1;1;1;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
10051;18;3;1;0;2;3;3;1;0;0;3;1;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
10052;14;4;1;1;2;2;2;1;0;0;1;2;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1
10053;7;2;1;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0
10054;13;2;1;0;0;2;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
10055;12;3;1;0;2;1;2;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;1
10056;16;3;1;0;0;3;1;0;0;0;3;0;3;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1
10057;10;4;1;1;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
10058;10;3;1;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
10059;12;3;1;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;
10060;10;3;2;0;1;1;1;0;0;0;2;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
10061;15;4;1;1;2;3;2;1;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0
10062;7;2;1;0;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
10063;12;4;2;0;2;2;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
10064;9;4;1;1;2;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1
10065;8;4;2;0;2;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;
10066;8;3;2;0;1;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0.5
10067;9;3;2;0;0;2;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0.5
10068;11;4;1;1;2;0;2;1;0;0;0;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;
10069;15;4;2;0;2;2;1;0;0;0;3;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0
10070;7;3;2;0;0;1;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
10071;16;4;2;0;2;2;1;1;0;0;1;1;6;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;
10072;13;2;1;0;1;2;1;0;0;0;3;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;1;1
10073;8;4;1;1;2;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10074;8;2;1;0;1;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
10075;12;4;1;1;2;2;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1
10076;11;4;1;1;2;1;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;
10077;11;3;1;0;2;1;2;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;
10078;11;4;2;0;2;1;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
10079;12;4;2;0;2;0;3;1;0;0;2;0;2;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
10080;8;4;1;1;2;1;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1
10081;19;5;2;1;2;1;1;1;0;0;4;0;7;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0.6666666667
10082;7;3;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1
10083;13;4;1;1;1;2;3;0;0;0;1;2;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1
10084;8;3;2;0;1;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0.5
10085;13;3;1;0;1;3;1;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1
10086;14;4;1;1;2;3;1;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;1
10087;16;4;1;1;2;2;2;0;0;0;3;2;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1
10088;6;2;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
10089;11;4;1;1;2;2;2;2;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10090;13;4;1;1;0;2;2;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0
10091;15;4;2;0;1;1;2;0;0;0;2;0;7;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
10092;11;3;1;0;0;0;1;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1
10093;9;2;1;0;0;2;2;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
10094;7;3;1;1;1;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1
10095;9;2;1;0;1;2;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;
10096;7;2;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1
10097;8;3;2;0;1;1;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
10098;12;3;1;0;2;2;3;0;0;0;1;2;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
10099;17;5;2;1;2;1;1;1;0;0;3;0;4;0;1;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;1;0.5
10100;15;3;1;0;1;1;3;1;0;0;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;0
10101;14;4;1;1;0;1;2;1;0;0;0;2;2;0;0;0;0;0;0;1;0;0;1;2;0;1;0;0;1;0;0;1;1
10102;8;2;1;0;1;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
10103;15;3;1;0;1;2;2;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;1;1
10104;12;3;1;0;2;1;2;2;0;0;2;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
10105;9;3;1;0;2;1;2;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;
10106;14;3;1;0;2;3;1;0;0;1;2;0;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1
10107;10;4;2;0;2;1;1;2;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10108;14;3;1;0;2;2;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;1;0;1;0;0;1;1
10109;12;3;2;0;1;3;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0.5
10110;7;2;1;0;0;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
10111;9;3;1;0;1;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;
10112;10;4;1;1;0;0;1;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;
10113;14;4;1;1;2;1;2;1;0;0;1;2;4;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10114;14;4;1;1;2;2;1;1;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;1;
10115;8;2;1;0;1;1;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
10116;11;2;1;0;0;1;2;0;0;0;1;1;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
10117;10;2;1;0;1;1;1;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1
10118;4;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;
10119;15;4;2;0;2;0;1;0;0;0;2;0;7;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0.5
10120;12;3;1;0;2;1;2;1;0;0;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1
10121;12;4;1;1;2;2;1;0;0;0;3;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
10122;15;4;1;1;2;1;1;1;0;0;0;2;3;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;0;0;1;
10123;9;3;1;1;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1
10124;11;3;2;0;0;2;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1
10125;22;5;2;1;2;3;3;1;0;0;5;0;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;1;1
10126;9;3;1;1;0;1;2;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
10127;10;2;1;0;1;1;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1
10128;15;4;2;0;2;2;2;3;0;0;3;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;
10129;8;3;2;0;1;1;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
10130;8;3;2;0;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1
10131;7;3;1;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10132;16;4;1;1;2;2;2;0;0;0;2;1;3;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;0;0;1;1
10133;9;3;1;1;1;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
10134;5;2;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
10135;10;3;1;1;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1
10136;7;3;2;0;1;1;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0.5
10137;8;2;1;0;1;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
10138;9;3;1;1;1;1;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1
10139;7;2;1;0;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
10140;7;2;1;0;1;1;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
10141;15;3;1;0;0;3;3;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1
10142;7;3;2;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
10143;12;4;1;1;2;0;2;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;1;0;1
10144;10;4;2;0;2;0;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1
10145;11;3;1;1;1;1;3;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
10146;13;4;1;1;1;2;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1
10147;9;3;2;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0
10148;12;3;1;0;1;0;2;3;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
10149;15;3;1;0;1;1;2;1;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0
10150;6;2;1;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1
10151;8;2;1;0;1;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;
10152;15;3;1;0;1;3;2;0;0;1;4;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1
10153;7;2;1;0;1;1;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10154;10;3;2;0;0;1;2;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0.5
10155;6;2;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
10156;9;2;1;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1
10157;7;2;1;0;1;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
10158;13;2;1;0;1;1;1;2;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;1;1
10159;12;5;2;1;2;0;1;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0.5
10160;14;5;2;1;2;0;0;1;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;1;1
10161;12;4;1;1;2;2;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1
10162;12;3;1;1;1;1;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;1;
10163;9;5;2;1;2;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
10164;13;3;1;0;0;1;1;0;0;0;3;2;2;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0
10165;15;4;1;1;1;1;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;1;0;1;0;1
10166;9;3;2;0;1;1;1;0;0;0;2;0;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0.5
10167;16;3;1;0;2;2;2;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;
10168;9;4;2;0;2;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1
10169;9;3;2;0;1;1;0;1;0;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
10170;12;4;1;1;2;0;3;1;0;0;0;2;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0
10171;19;4;2;0;2;1;3;1;0;0;2;1;6;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0
10172;10;3;1;0;1;0;2;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;
10173;11;5;2;1;2;1;2;0;0;0;3;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1
10174;9;4;2;0;2;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0.5
10175;14;4;1;1;2;3;2;0;0;0;2;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0
10176;6;3;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
10177;14;4;1;1;1;1;0;2;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;1;0;1
10178;10;3;1;0;2;1;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1
10179;14;4;1;1;2;4;1;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;1
10180;7;2;1;0;1;1;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
10181;15;5;2;1;2;2;1;1;0;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0.5
10182;11;3;2;0;0;2;1;0;0;0;2;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0.5
10183;19;3;1;0;2;3;4;2;0;0;3;1;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1
10184;8;3;1;1;1;1;1;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
10185;16;4;1;1;2;2;3;1;0;0;3;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;1
10186;10;4;1;1;2;1;1;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
10187;7;3;1;0;2;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;
10188;9;4;1;1;0;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10189;11;3;1;1;1;0;1;1;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
10190;5;2;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1
10191;13;4;2;0;2;1;1;1;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0.5
10192;12;4;1;1;2;2;1;0;0;0;2;0;3;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1
10193;8;2;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;
10194;7;3;2;0;0;1;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
10195;14;4;2;0;2;2;2;1;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;
